timestamp,device,torch_version,cuda_version,implementation,activation_dtype,rows,in_features,out_features,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260713_135528,Orin,2.8.0,12.6,pytorch_reference,float16,1,1024,1024,5,10,10,0.637607360,0.764867210,0.427289581,0.785052776,1.000000
20260713_135528,Orin,2.8.0,12.6,cuda_naive,float16,1,1024,1024,5,10,10,0.101401281,0.101369601,0.101142395,0.101696002,7.545331
20260713_135528,Orin,2.8.0,12.6,cuda_warp,float16,1,1024,1024,5,10,10,0.036463680,0.036097600,0.034841600,0.041996801,21.188866
20260713_135528,Orin,2.8.0,12.6,cuda_tiled,float16,1,1024,1024,5,10,10,0.036805440,0.036777601,0.035747200,0.039305601,20.797094
20260713_135528,Orin,2.8.0,12.6,cuda_vec4,float16,1,1024,1024,5,10,10,0.035892160,0.035406400,0.034185600,0.039977601,21.602513
20260713_135528,Orin,2.8.0,12.6,pytorch_reference,float16,1,2048,2048,5,10,10,1.688795214,1.534937620,1.404294395,2.830166435,1.000000
20260713_135528,Orin,2.8.0,12.6,cuda_naive,float16,1,2048,2048,5,10,10,0.409066563,0.409097600,0.408495998,0.409606409,3.752008
20260713_135528,Orin,2.8.0,12.6,cuda_warp,float16,1,2048,2048,5,10,10,0.082099840,0.082110399,0.081715202,0.082543999,18.693584
20260713_135528,Orin,2.8.0,12.6,cuda_tiled,float16,1,2048,2048,5,10,10,0.102315521,0.102288002,0.102070403,0.102617598,15.006038
20260713_135528,Orin,2.8.0,12.6,cuda_vec4,float16,1,2048,2048,5,10,10,0.078792320,0.078751999,0.078540802,0.079049599,19.490777
20260713_135528,Orin,2.8.0,12.6,pytorch_reference,float16,4,2048,2048,5,10,10,1.569769917,1.475491238,1.473472023,1.756921577,1.000000
20260713_135528,Orin,2.8.0,12.6,cuda_naive,float16,4,2048,2048,5,10,10,1.515094404,1.514955235,1.514518356,1.515750408,0.973950
20260713_135528,Orin,2.8.0,12.6,cuda_warp,float16,4,2048,2048,5,10,10,0.230685761,0.230713606,0.230390406,0.231001592,6.395337
20260713_135528,Orin,2.8.0,12.6,cuda_tiled,float16,4,2048,2048,5,10,10,0.315718400,0.315715206,0.315123200,0.316111994,4.673488
20260713_135528,Orin,2.8.0,12.6,cuda_vec4,float16,4,2048,2048,5,10,10,0.228549118,0.228504002,0.228393602,0.228841591,6.457179
