timestamp,device,torch_version,cuda_version,implementation,activation_dtype,rows,in_features,out_features,warmup_iterations,measurement_rounds,repeats_per_round,mean_ms,median_ms,minimum_ms,p95_ms,speedup_vs_reference
20260713_144341,Orin,2.8.0,12.6,pytorch_reference,float16,1,1024,1024,5,10,10,0.650559673,0.780206394,0.426198387,0.784201622,1.000000
20260713_144341,Orin,2.8.0,12.6,cuda_naive,float16,1,1024,1024,5,10,10,0.101191682,0.101164800,0.100857604,0.101571202,7.712232
20260713_144341,Orin,2.8.0,12.6,cuda_warp,float16,1,1024,1024,5,10,10,0.033896640,0.033697601,0.032009599,0.036281601,23.153173
20260713_144341,Orin,2.8.0,12.6,cuda_tiled,float16,1,1024,1024,5,10,10,0.035585920,0.035508800,0.035295999,0.036025599,21.972199
20260713_144341,Orin,2.8.0,12.6,cuda_vec4,float16,1,1024,1024,5,10,10,0.033157760,0.032476801,0.030614400,0.040547201,24.023499
20260713_144341,Orin,2.8.0,12.6,cuda_wide,float16,1,1024,1024,5,10,10,0.033495680,0.033283201,0.031932801,0.036707199,23.441447
20260713_144341,Orin,2.8.0,12.6,cuda_half2,float16,1,1024,1024,5,10,10,0.032686080,0.032632001,0.031312001,0.035398400,23.909242
20260713_144341,Orin,2.8.0,12.6,pytorch_reference,float16,1,2048,2048,5,10,10,1.717045441,1.556796789,1.400531197,2.827775955,1.000000
20260713_144341,Orin,2.8.0,12.6,cuda_naive,float16,1,2048,2048,5,10,10,0.409040637,0.409035206,0.408623981,0.409523201,3.806022
20260713_144341,Orin,2.8.0,12.6,cuda_warp,float16,1,2048,2048,5,10,10,0.082696639,0.082369599,0.081974399,0.085603201,18.900138
20260713_144341,Orin,2.8.0,12.6,cuda_tiled,float16,1,2048,2048,5,10,10,0.102695680,0.102491200,0.101987195,0.105372798,15.189565
20260713_144341,Orin,2.8.0,12.6,cuda_vec4,float16,1,2048,2048,5,10,10,0.078900480,0.078839999,0.078512001,0.079305601,19.746281
20260713_144341,Orin,2.8.0,12.6,cuda_wide,float16,1,2048,2048,5,10,10,0.083000320,0.082855999,0.082668799,0.083641601,18.789186
20260713_144341,Orin,2.8.0,12.6,cuda_half2,float16,1,2048,2048,5,10,10,0.082487360,0.082358399,0.082070398,0.083350402,18.902708
20260713_144341,Orin,2.8.0,12.6,pytorch_reference,float16,4,2048,2048,5,10,10,1.559183674,1.472100782,1.469779205,1.754755211,1.000000
20260713_144341,Orin,2.8.0,12.6,cuda_naive,float16,4,2048,2048,5,10,10,1.515589752,1.515332794,1.514620781,1.517337608,0.971470
20260713_144341,Orin,2.8.0,12.6,cuda_warp,float16,4,2048,2048,5,10,10,0.230553601,0.230561602,0.230304003,0.230710411,6.384848
20260713_144341,Orin,2.8.0,12.6,cuda_tiled,float16,4,2048,2048,5,10,10,0.313653121,0.313662410,0.313353610,0.313872004,4.693265
20260713_144341,Orin,2.8.0,12.6,cuda_vec4,float16,4,2048,2048,5,10,10,0.228886075,0.228766394,0.228351998,0.229590392,6.434952
20260713_144341,Orin,2.8.0,12.6,cuda_wide,float16,4,2048,2048,5,10,10,0.239045122,0.239060807,0.238355207,0.239606404,6.157851
20260713_144341,Orin,2.8.0,12.6,cuda_half2,float16,4,2048,2048,5,10,10,0.214240646,0.214140809,0.213987207,0.214534402,6.874452
