
NOTICE: Existing SQLite export found: results/nsight/nsys_warp_fp32_rows1_1024.sqlite
        It is assumed file was previously exported from: results/nsight/nsys_warp_fp32_rows1_1024.nsys-rep
        Consider using --force-export=true if needed.

Processing [results/nsight/nsys_warp_fp32_rows1_1024.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.2,50039008,125,400312.1,41088.0,32352,28793504,2693972.0,cudaLaunchKernel
1.9,1011712,1,1011712.0,1011712.0,1011712,1011712,0.0,cudaHostAlloc
0.9,491264,1,491264.0,491264.0,491264,491264,0.0,cudaMalloc
0.2,129952,1,129952.0,129952.0,129952,129952,0.0,cudaMemcpyAsync
0.2,111168,2,55584.0,55584.0,25120,86048,43082.6,cudaEventCreateWithFlags
0.1,53856,11,4896.0,5536.0,640,10688,3716.8,cudaStreamIsCapturing_v10000
0.1,50016,2,25008.0,25008.0,18912,31104,8621.0,cudaEventRecordWithFlags_v11010
0.1,36992,1,36992.0,36992.0,36992,36992,0.0,cudaStreamSynchronize
0.1,30208,1,30208.0,30208.0,30208,30208,0.0,cudaDeviceSynchronize
0.0,18944,2,9472.0,9472.0,3680,15264,8191.1,cudaEventDestroy
0.0,13856,1,13856.0,13856.0,13856,13856,0.0,cudaEventSynchronize
0.0,9824,2,4912.0,4912.0,2592,7232,3281.0,cudaEventQuery
0.0,2432,1,2432.0,2432.0,2432,2432,0.0,cuModuleGetLoadingMode

